dataname,d,mode,shd,precision,recall,F1,spuriousness,time,shd_ci95,precision_ci95,recall_ci95,F1_ci95,spuriousness_ci95,time_ci95
notears,20,aS,3.6,0.9159442724458204,0.8862280701754386,0.9006804954173375,1.1111111111111112,0.07717383464177449,1.1010169036950441,0.034188121540380555,0.031299886341490946,0.031771282070699375,1.4518518518518517,0.0020990862102845615
notears,20,n,3.4,0.8759523809523809,0.9511695906432749,0.9118623481781377,5.4523809523809526,0.07617526213328044,0.7275212100764561,0.02240702050477114,0.019426295007654654,0.019771217676368268,0.992268880326395,0.003323397483395234
notears,40,aS,10.2,0.8851065734231369,0.8293220733236213,0.8559105912641798,4.345635058096358,0.16735844055811563,3.0616178729554084,0.04086570451139137,0.05312204483349257,0.04651234130256134,1.0648667584669977,0.003848006750686877
notears,40,n,17.0,0.7484536541889483,0.7386253452002978,0.742992562018023,5.434062261268144,0.18104634245236714,2.045256843419808,0.04325724130713063,0.033205713840085374,0.03612568327033048,1.4892588070850852,0.0042736291583647164
notears,60,aS,18.6,0.8375945949578025,0.8061552205142661,0.8214000691124305,3.1097027361178307,0.2344976615905762,1.875419479002557,0.020001505149269818,0.023963577409149034,0.020745120426002666,0.856034323090318,0.006286565901514394
notears,60,n,25.7,0.6884664960675743,0.7959022830391933,0.7378638638019878,3.8135370463735767,0.25979930718739824,1.9392007517416956,0.02288003107900163,0.029509014617383943,0.023392211919683832,0.9833492233675063,0.004956397670011277
notears,80,aS,25.8,0.8307476838669986,0.7974221102443664,0.8133954704193727,3.5169982813057734,0.32081785321235656,2.9188722327486536,0.0334699009754651,0.019228758989577,0.02458414042687089,0.8632002257125224,0.005861557159010399
notears,80,n,36.7,0.6476993377171845,0.7882281723856365,0.7108865961406853,3.0067391709751914,0.35780147910118104,3.1475481816098636,0.030255065191044667,0.030997395107197023,0.029794659029378015,0.9846583830953758,0.005563607224901143
notears,100,aS,31.2,0.8626613059044003,0.7787594843455958,0.8183245570999919,2.082344252378046,0.42822895884513856,2.296910388616267,0.01940453641984548,0.016889283923574794,0.015658055285950306,0.3692027202012406,0.010871134394763492
notears,100,n,42.46666666666667,0.6884411501602277,0.7983758240333534,0.7387638063946782,3.123309118042511,0.4308799889352587,2.213082716734988,0.02101128089865604,0.017804568673335016,0.016621307306474133,0.5104432179786585,0.046460388912878285
notears,200,aS,63.7,0.8482994744621701,0.777841362300183,0.8113785081844833,1.0446818804322582,2.131897276242574,7.012613524531667,0.026367129483552354,0.02509225419659168,0.024576685681929916,0.44219706684635407,0.07125916074862354
notears,200,n,85.8,0.693927503079937,0.7769159216105102,0.7328807849350921,2.294769367457909,1.440197366476059,5.134385346746861,0.022946546180683217,0.017857213470140066,0.019675724717196138,0.592899005305753,0.015322006787917538
notears,300,aS,108.5,0.831543700309456,0.7388593512064874,0.782368154058837,1.7060544255193448,3.326344699462255,6.254621757815044,0.015498418436485882,0.016813660022798296,0.015360290388559319,0.3176355200833756,0.1009655601061601
notears,300,n,150.1,0.6260762577450883,0.7330587765085095,0.6750994036533169,2.5560495034893926,2.5507470095157623,5.962539205554777,0.020457359064072568,0.016275655662141657,0.01696353789275701,0.3484824809433952,0.06836604901174899
notears,400,aS,133.4,0.8508947914120115,0.7611509348865373,0.8034834195603937,1.9620162953009328,4.140901354153952,4.58451965253116,0.009145625518000937,0.008501240583966924,0.007961680957676643,0.3464732983596579,0.20259331031031466
notears,400,n,195.6,0.6311617852059715,0.7628356699119023,0.6906922877561004,4.12564951610413,3.3799294038613636,5.874189721901133,0.013097163339218254,0.013768164645854454,0.012547517703604145,0.24536320098764158,0.18650509750034164
notears,500,aS,173.9,0.8527968784439419,0.7368240492294292,0.7905283446905063,0.7258359888806293,29.677483349045122,6.78055045118408,0.009202643201666319,0.010644266993831815,0.009773310964832178,0.18937934828194608,11.60756479853821
notears,500,n,249.12,0.6242869439345559,0.7347642458562924,0.6749106946859726,1.9862634711073996,27.25359654267629,5.725884302009605,0.011357792204020726,0.00839819720169069,0.009793324116740273,0.12053460393621328,11.070138753435781
