dataname,d,baseline,shd,precision,recall,F1,spuriousness,time,shd_ci95,precision_ci95,recall_ci95,F1_ci95,spuriousness_ci95,time_ci95
notears,100,DAS,58.0,0.9347826086956522,0.4387755102040816,0.5972222222222222,4.3478260869565215,2.4741846839586894,0.0,0.0,0.0,0.0,0.0,0.0
notears,100,GIES,30.0,0.81,0.8804347826086957,0.84375,12.0,0.31650486787160237,0.0,0.0,0.0,0.0,0.0,0.0965454339981079
notears,100,MLPNotears,41.0,1.0,0.5858585858585859,0.7388023369036028,0.0,13.602588055531184,1.9600000000000002,0.0,0.019797979797979707,0.0157448880233689,0.0,1.7846967704296097
notears,100,Notears,86.0,1.0,0.13131313131313133,0.23214285714285718,0.0,1.2716249128182728,0.0,0.0,0.0,0.0,0.0,0.007739729324976574
notears,100,SCORE,55.0,0.8095238095238095,0.5425531914893617,0.6496815286624203,11.11111111111111,16.163047579924267,0.0,0.0,0.0,0.0,0.0,0.0
notears,200,DAS,134.0,0.8674698795180723,0.36923076923076925,0.5179856115107914,8.433734939759036,5.464888099829355,0.0,0.0,0.0,0.0,0.0,0.0
notears,200,GIES,91.0,0.6883116883116883,0.8932584269662921,0.7775061124694377,22.07792207792208,0.3809398114681244,0.0,0.0,0.0,0.0,0.0,0.05619731036822003
notears,200,MLPNotears,59.5,0.9964285714285714,0.7027688949799502,0.8242219545827443,0.0,38.2051970422268,0.9800000000000001,0.006999999999999974,0.0014674382011066753,0.0034040250650190537,0.0,0.7766001304785448
notears,200,Notears,177.0,1.0,0.11055276381909548,0.1990950226244344,0.0,3.2108930627504986,0.0,0.0,0.0,0.0,0.0,0.006769376118978285
notears,200,SCORE,113.0,0.7631578947368421,0.6010362694300518,0.672463768115942,19.736842105263158,67.06981423695882,0.0,0.0,0.0,0.0,0.0,0.0
notears,300,DAS,252.0,0.8095238095238095,0.17525773195876287,0.28813559322033894,6.349206349206349,7.191624089082082,0.0,0.0,0.0,0.0,0.0,0.0
notears,300,GIES,171.0,0.6297229219143576,0.9124087591240876,0.7451564828614009,30.730478589420656,0.9563004891077678,0.0,0.0,0.0,0.0,0.0,0.17729334131876623
notears,300,MLPNotears,95.0,1.0,0.6822742474916388,0.8110580134628231,0.0,59.966177481412885,7.840000000000001,0.0,0.02622073578595316,0.01853142181799486,0.0,1.8604564794699352
notears,300,Notears,267.0,1.0,0.10702341137123746,0.1933534743202417,0.0,7.090430615345637,0.0,0.0,0.0,0.0,0.0,0.25359900132815033
notears,300,SCORE,238.0,0.5871886120996441,0.5749128919860628,0.5809859154929579,37.01067615658363,111.49892248709996,0.0,0.0,0.0,0.0,0.0,0.0
notears,400,DAS,375.0,0.8666666666666667,0.0654911838790932,0.12177985948477751,6.666666666666667,10.991816516717275,0.0,0.0,0.0,0.0,0.0,0.0
notears,400,GIES,289.0,0.559016393442623,0.9445983379501385,0.7023686920700309,37.868852459016395,0.8260665277640025,0.0,0.0,0.0,0.0,0.0,0.27739467056592304
notears,400,MLPNotears,123.0,0.9910265336118202,0.696091901381574,0.8177777777777778,0.0,87.43310272892316,0.0,0.003487274696371969,0.001720479352721207,0.0,0.0,19.030792373259864
notears,400,Notears,349.0,1.0,0.12531328320802004,0.22271714922049,0.0,10.765681884686153,0.0,0.0,0.0,0.0,0.0,0.12993057115872625
notears,400,SCORE,376.0,0.5098039215686274,0.5416666666666666,0.5252525252525253,45.34313725490196,233.51488577922186,0.0,0.0,0.0,0.0,0.0,0.0
notears,500,DAS,489.0,0.4642857142857143,0.026694045174537988,0.05048543689320388,10.714285714285714,14.832963486512503,0.0,0.0,0.0,0.0,0.0,0.0
notears,500,GIES,416.0,0.5318396226415094,0.9595744680851064,0.684370257966616,43.39622641509434,0.9971661388874055,0.0,0.0,0.0,0.0,0.0,0.08128805597623197
notears,500,MLPNotears,157.0,0.9913207169987339,0.6904458881804886,0.8139618461745799,0.28861531285400144,114.74840397437414,7.840000000000001,0.005779302991937127,0.012428870411222318,0.010585194720963908,0.004081428666622249,7.939878158251448
notears,500,Notears,432.0,1.0,0.1342685370741483,0.23674911660777384,0.0,17.602879506349566,0.0,0.0,0.0,0.0,0.0,0.3530256149768805
notears,500,SCORE,521.0,0.44912280701754387,0.5529157667386609,0.4956437560503389,48.771929824561404,325.1293567736944,0.0,0.0,0.0,0.0,0.0,0.0
