dataname,d,baseline,shd,precision,recall,F1,spuriousness,time,shd_ci95,precision_ci95,recall_ci95,F1_ci95,spuriousness_ci95,time_ci95
notears,20,DAS,7.9,0.835376676986584,0.741578947368421,0.7840535891929081,12.455452356381148,0.08617823044459025,1.1106666666666665,0.04366603352191867,0.03112642159433176,0.028297100465471636,4.445943619809646,0.002736524153364104
notears,20,FCI,24.0,0.3,0.375,0.33333333333333326,50.0,0.0810025175412496,0.0,0.0,0.0,0.0,0.0,0.0
notears,20,GIES,23.0,0.4166666666666667,0.8823529411764706,0.5660377358490566,50.0,0.04384930531183879,0.0,0.0,0.0,0.0,0.0,0.0
notears,20,MLPNotears,4.0,0.8636363636363636,0.95,0.9047619047619048,13.636363636363635,1.8347318251927693,0.0,0.0,0.0,0.0,0.0,0.0
notears,20,Notears,16.0,1.0,0.2,0.33333333333333337,0.0,0.11560641527175904,0.0,0.0,0.0,0.0,0.0,0.0
notears,20,SCORE,4.0,0.9444444444444444,0.85,0.8947368421052632,5.555555555555555,0.5231653690338135,0.0,0.0,0.0,0.0,0.0,0.0
notears,40,DAS,11.2,0.918324137067103,0.7799295145347778,0.8428839353087941,4.140810209714385,0.179439777135849,1.2668603360714672,0.024200945489390807,0.024846016525381806,0.020091965089693554,1.924423561854722,0.005986909271101152
notears,40,FCI,38.0,0.375,0.6923076923076923,0.48648648648648646,33.33333333333333,0.03490376869837443,0.0,0.0,0.0,0.0,0.0,0.0
notears,40,GIES,34.0,0.49122807017543857,0.8484848484848485,0.6222222222222222,38.59649122807017,0.06107432643572489,0.0,0.0,0.0,0.0,0.0,0.0019404688676198313
notears,40,MLPNotears,7.0,0.9230769230769231,0.9,0.9113924050632911,7.6923076923076925,5.10924430290858,0.0,0.0,0.0,0.0,0.0,0.0
notears,40,Notears,31.0,1.0,0.225,0.36734693877551017,0.0,0.6677867809931437,0.0,0.0,0.0,0.0,0.0,0.0
notears,40,SCORE,6.0,1.0,0.85,0.9189189189189189,0.0,1.707307505607605,0.0,0.0,0.0,0.0,0.0,0.0
notears,60,DAS,20.1,0.905632992160321,0.7333589672603484,0.8097579705389227,6.2597926794569485,0.2833814263343811,1.7396341888773943,0.0178275556893056,0.025773396901373404,0.018441501239675247,1.8660269177165103,0.007942145983595916
notears,60,FCI,73.0,0.2638888888888889,0.48717948717948717,0.34234234234234234,44.44444444444444,0.05635331074396768,0.0,0.0,0.0,0.0,0.0,0.0
notears,60,GIES,34.0,0.6438356164383562,0.8545454545454545,0.7343750000000001,28.767123287671232,0.07870555321375529,0.0,0.0,0.0,0.0,0.0,0.0011642322540283312
notears,60,MLPNotears,9.0,0.9636363636363636,0.8833333333333333,0.9217391304347826,3.6363636363636362,8.197938664754231,0.0,0.0,0.0,0.0,0.0,0.0
notears,60,Notears,50.0,1.0,0.16666666666666666,0.2857142857142857,0.0,0.9784905791282654,0.0,0.0,0.0,0.0,0.0,0.0
notears,60,SCORE,6.0,1.0,0.9,0.9473684210526316,0.0,3.5565501530965173,0.0,0.0,0.0,0.0,0.0,0.0
notears,80,DAS,29.1,0.9360410533792027,0.6747927072927073,0.7839702250581972,3.5601523526604653,0.4022821970780691,2.1757079052319703,0.013610624800443892,0.021124221590950034,0.01778291147919196,1.4980310871740043,0.007939207893381898
notears,80,FCI,111.0,0.24615384615384617,0.7111111111111111,0.36571428571428577,48.46153846153846,0.44495838483174643,0.0,0.0,0.0,0.0,0.0,0.0
notears,80,GIES,54.0,0.5739130434782609,0.9295774647887324,0.7096774193548387,34.78260869565217,0.08474131822586059,0.0,0.0,0.0,0.0,0.0,0.0021787726084391106
notears,80,MLPNotears,15.0,0.9333333333333333,0.875,0.9032258064516129,6.666666666666667,11.345141820112865,0.0,0.0,0.0,0.0,0.0,0.0
notears,80,Notears,70.0,1.0,0.125,0.2222222222222222,0.0,1.18044646581014,0.0,0.0,0.0,0.0,0.0,0.0
notears,80,SCORE,15.0,0.9436619718309859,0.8589743589743589,0.8993288590604026,2.8169014084507045,6.264978726704915,0.0,0.0,0.0,0.0,0.0,0.0
notears,100,DAS,35.8,0.9037543359447788,0.7066858346579395,0.7925502541678096,5.941035536712215,0.5233487808704377,3.7280095374222295,0.021550239410947837,0.029763332457621434,0.024192878737806327,1.4084063083048275,0.03473782167940074
notears,100,FCI,179.0,0.19607843137254902,0.7272727272727273,0.3088803088803089,58.333333333333336,0.22072466611862182,0.0,0.0,0.0,0.0,0.0,0.0
notears,100,GIES,85.0,0.4934210526315789,0.9036144578313253,0.6382978723404256,39.473684210526315,0.1105902353922526,0.0,0.0,0.0,0.0,0.0,0.0
notears,100,MLPNotears,17.0,0.91,0.9191919191919192,0.9145728643216081,8.0,17.47751258611679,0.0,0.0,0.0,0.0,0.0,0.0
notears,100,Notears,78.0,0.9583333333333334,0.23,0.3709677419354839,4.166666666666666,1.4126212040583292,0.0,0.0,0.0,0.0,0.0,0.0
notears,100,SCORE,20.0,0.9139784946236559,0.8762886597938144,0.894736842105263,5.376344086021505,9.314951769510905,0.0,0.0,0.0,0.0,0.0,0.0
notears,200,DAS,107.3,0.8719355771101786,0.5215548849329976,0.6521636703546296,6.853490282604542,1.7180432959397636,2.1874474215903392,0.013822873671759854,0.015054891972232715,0.010235403858373295,1.039742111996458,0.353556380422704
notears,200,FCI,444.0,0.15670103092783505,0.6846846846846847,0.2550335570469799,65.97938144329896,1.2144100666046143,0.0,0.0,0.0,0.0,0.0,0.0
notears,200,GIES,184.0,0.4968152866242038,0.8571428571428571,0.6290322580645161,44.5859872611465,0.21714609066645307,0.0,0.0,0.0,0.0,0.0,0.0
notears,200,MLPNotears,32.0,0.946524064171123,0.8894472361809045,0.9170984455958548,4.81283422459893,38.412368500232695,0.0,0.0,0.0,0.0,0.0,0.0
notears,200,Notears,161.0,0.9534883720930233,0.205,0.3374485596707819,4.651162790697675,4.325321729977926,0.0,0.0,0.0,0.0,0.0,0.0
notears,200,SCORE,67.0,0.8298969072164949,0.8256410256410256,0.8277634961439589,14.432989690721648,37.147113974889116,0.0,0.0,0.0,0.0,0.0,0.0
notears,300,DAS,247.7,0.698500042781182,0.2387652160693269,0.35571190792779156,16.46255741313522,3.002930474281311,5.235234644003819,0.03075744594309105,0.010587727810553596,0.014946137560611718,2.4651465864792876,0.2537302677866098
notears,300,FCI,821.0,0.14810810810810812,0.8058823529411765,0.2502283105022831,71.13513513513513,6.838000969092052,0.0,0.0,0.0,0.0,0.0,0.0
notears,300,GIES,326.0,0.4356060606060606,0.8914728682170543,0.5852417302798982,48.484848484848484,0.3655649701754253,0.0,0.0,0.0,0.0,0.0,0.0
notears,300,MLPNotears,56.5,0.9347872679854619,0.8699324324324325,0.9010308672884688,5.068309611667545,80.49512645204862,4.699914892846467,0.005781546049911522,0.021878089019782686,0.00964004164034752,0.6178482069504411,4.311254685249183
notears,300,Notears,242.0,0.967741935483871,0.2,0.33149171270718236,3.225806451612903,11.278337156772613,0.0,0.0,0.0,0.0,0.0,0.0
notears,300,SCORE,160.0,0.6787878787878788,0.8057553956834532,0.7368421052631579,25.454545454545453,85.07038649320603,0.0,0.0,0.0,0.0,0.0,0.0
notears,400,DAS,391.8,0.4768171836373762,0.07788605288232035,0.13374863102211595,34.939716754756226,5.080990704298019,4.55275369663484,0.035797140053258555,0.008541127628325759,0.013809971693793277,3.881893461753419,0.29789702731945733
notears,400,FCI,1301.5,0.12668745027748757,0.820627802690583,0.21949027460694912,75.07787863393688,71.10295518835386,0.9800000000000001,8.59492566784059e-05,0.0,0.00012899578357710828,0.01690805049409974,3.7875612951119657
notears,400,GIES,471.0,0.41392904073587383,0.9264705882352942,0.5722070844686649,50.7227332457293,0.6481153845787049,0.0,0.0,0.0,0.0,0.0,0.0
notears,400,MLPNotears,94.58333333333333,0.9092976656548739,0.8415953327367093,0.8729313601334292,6.051280269741352,98.63414122561613,11.278604532566083,0.008790126541266463,0.03330045357632373,0.017920459565259454,0.4789258102637063,29.16976750928442
notears,400,Notears,322.0,0.963855421686747,0.20050125313283207,0.33195020746887965,2.4096385542168677,17.657884353399275,0.0,0.0,0.0,0.0,0.0,0.4355470441977175
notears,400,SCORE,247.0,0.6236323851203501,0.7916666666666666,0.6976744186046512,28.88402625820569,156.74267380634944,0.0,0.0,0.0,0.0,0.0,0.0
notears,500,DAS,481.8,0.5756310782877697,0.0661236301481282,0.1185008674942462,25.214692540485828,8.254966600338618,3.184623054617296,0.038796371173345716,0.00439896460329597,0.007610325141707545,3.183529000512594,1.1749394621612295
notears,500,FCI,1888.0,0.11795357650402653,0.9054545454545454,0.20871751886001674,77.54618664140219,218.19167641003926,0.0,0.0,0.0,0.0,0.0,15.429056920051641
notears,500,GIES,661.0,0.3839458413926499,0.9429928741092637,0.5457044673539518,53.9651837524178,1.113975715637207,0.0,0.0,0.0,0.0,0.0,0.0
notears,500,MLPNotears,105.88888888888889,0.9021308786068738,0.8763364094278393,0.8877700891684546,6.268761007732212,178.3416694857456,19.191338452670212,0.011734229451208333,0.042437340583940615,0.024315104562429878,0.8662629692207002,17.90484191926049
notears,500,Notears,412.0,0.93,0.18674698795180722,0.3110367892976588,5.0,30.0135207593441,0.0,0.0,0.0,0.0,0.0,0.11299166321754454
notears,500,SCORE,380.0,0.5477707006369427,0.7818181818181819,0.6441947565543071,35.6687898089172,236.85987604856493,0.0,0.0,0.0,0.0,0.0,0.0
