dataname,baseline,s,shd,espur,precision,recall,F1,time,spuriousness,shd_ci95,espur_ci95,precision_ci95,recall_ci95,F1_ci95,time_ci95,spuriousness_ci95
notears,MLPNotears,600,150.5,85.0,0.8517957912808505,0.9028716216216216,0.8765890834856352,187.55278633832933,13.54551318843745,0.9800000000000001,1.9600000000000002,0.0024291308786704,0.00165540540540547,0.00050608602332741,2.7870978711446006,0.24888636051951324
notears,MLPNotears,700,167.0,103.5,0.8578173615008637,0.9118919628984222,0.8840285185735313,177.71283464431764,13.948539949106642,1.9600000000000002,2.9399999999999995,0.000945177936040017,0.0011566020734683224,0.001045410967227971,2.2536845254897653,0.3593812152287748
notears,MLPNotears,800,146.0,64.0,0.912329479311475,0.9031446540880503,0.9077079707261095,164.90646140972774,8.131711641018935,3.9200000000000004,1.9600000000000002,0.0016171068841193924,0.007396226415094338,0.0029352525344546057,9.633848019599903,0.16803987386837527
notears,MLPNotears,900,177.5,81.0,0.9012452247092043,0.8997627431506505,0.9004914004914005,199.34356065591174,9.089284725612671,28.419999999999998,5.879999999999999,0.010422540882529079,0.02326591827931094,0.01685503685503694,55.76212709792459,0.8094363269394355
notears,MLPNotears,1000,141.0,55.0,0.94129763130793,0.9158316633266532,0.9283900457084815,175.15653053919476,5.664263645726056,3.9200000000000004,1.9600000000000002,0.0020185375901132963,0.0019639278557113705,0.0019908583037074293,39.73846852366134,0.20185375901132876
notears,Notears,600,474.0,6.0,0.9565217391304348,0.22,0.35772357723577236,50.15901854634285,4.3478260869565215,0.0,0.0,0.0,0.0,0.0,8.85122357678414,0.0
notears,Notears,700,553.0,5.0,0.9681528662420382,0.21714285714285714,0.3547257876312719,65.20070855418841,3.1847133757961785,0.0,0.0,0.0,0.0,0.0,0.05422203151385361,0.0
notears,Notears,800,645.0,7.0,0.9585798816568047,0.2025,0.33436532507739936,45.917170377572376,4.142011834319527,0.0,0.0,0.0,0.0,0.0,1.4746389846801806,0.0
notears,Notears,900,729.0,5.0,0.9723756906077348,0.19555555555555557,0.3256244218316374,50.10038023193678,2.7624309392265194,0.0,0.0,0.0,0.0,0.0,2.6104268143177096,0.0
notears,Notears,1000,809.0,1.0,0.9948186528497409,0.192,0.32187761944677284,36.24268100857735,0.5181347150259068,0.0,0.0,0.0,0.0,0.0,0.01494406088193095,0.0
