dataname,baseline,s,shd,espur,precision,recall,F1,time,spuriousness,shd_ci95,espur_ci95,precision_ci95,recall_ci95,F1_ci95,time_ci95,spuriousness_ci95
notears,MLPNotears,500,105.14285714285714,27.285714285714285,0.9079331920351974,0.871387861118426,0.8877918325071291,167.30613498574212,5.8284776659946145,23.17694256511559,3.545438383801548,0.003731381811646297,0.05412718311292467,0.03013412929201628,12.187039721690244,0.46345574381071575
notears,MLPNotears,600,344.7,36.1,0.8677278724632572,0.4940395076518603,0.6275120949758547,23.71278047243754,10.408383621614806,15.123079110345811,10.36908130506802,0.02312889453991517,0.031322494185695764,0.02370559013475909,9.884713395300336,2.4360165331373245
notears,MLPNotears,700,451.2,19.6,0.9024160052475179,0.38994829011996684,0.5415472557062857,23.800461276372275,6.38546839457875,21.9500554694313,5.079220237617406,0.014747833716530337,0.037881283364706544,0.03589637105444835,5.314386895782115,1.1655097639766476
notears,MLPNotears,800,551.2,35.6,0.7870413961600239,0.3594517141591623,0.5449213653017871,35.30494634350141,9.276690571488926,59.839627093312224,16.751853973681705,0.17526596827910912,0.08549267146272532,0.03567112731758612,10.647781554735495,4.0862886451513605
notears,MLPNotears,900,677.2,49.7,0.791909992933396,0.31768736988551854,0.4423644484537078,25.23770760377248,13.58997179052325,42.579894180756774,21.556139048230936,0.08560521449576043,0.052312456047789474,0.051726658729843444,9.10635767055278,5.854453971972237
notears,MLPNotears,1000,817.9,62.5,0.7822371841979626,0.24692629829519422,0.4045667227897969,48.014812049468354,19.274120898420122,43.11648571537857,21.41947130792707,0.04041834834153979,0.05636984388931368,0.020396891035263997,12.471018357907253,3.7507301048085795
notears,Notears,500,412.0,5.0,0.93,0.18674698795180722,0.3110367892976588,30.0135207593441,5.0,0.0,0.0,0.0,0.0,0.0,0.11299166321754454,0.0
notears,Notears,600,486.0,5.0,0.9444444444444444,0.19899665551839466,0.32872928176795585,67.95282572229704,3.9682539682539675,0.0,0.0,0.0,0.0,0.0,0.8865440435948648,0.0
notears,Notears,700,592.0,7.0,0.905511811023622,0.16546762589928057,0.2798053527980535,69.84152597427368,5.511811023622047,0.0,0.0,0.0,0.0,0.0,0.4415641260228045,0.0
notears,Notears,800,675.0,7.0,0.9361702127659575,0.16541353383458646,0.28115015974440893,86.48323946475982,4.964539007092199,0.0,0.0,0.0,0.0,0.0,1.2388815664821835,0.0
notears,Notears,900,794.0,6.0,0.9180327868852458,0.125,0.22003929273084477,82.74037183880806,4.918032786885246,0.0,0.0,0.0,0.0,0.0,0.258348922983537,0.0
notears,Notears,1000,876.0,14.0,0.8846153846153847,0.13855421686746988,0.23958333333333334,102.8657304175695,8.974358974358974,0.0,0.0,0.0,0.0,0.0,1.27100753011056,0.0
notears,SCORE,500,380.0,224.0,0.5477707006369427,0.7818181818181819,0.6441947565543071,236.85987604856493,35.6687898089172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
notears,SCORE,600,481.0,243.0,0.5149359886201992,0.7211155378486056,0.6008298755186723,223.5744504094124,34.56614509246088,0.0,0.0,0.0,0.0,0.0,0.0,0.0
notears,SCORE,700,525.0,250.0,0.5462724935732648,0.711892797319933,0.6181818181818182,231.93141570885976,32.13367609254499,0.0,0.0,0.0,0.0,0.0,0.0,0.0
notears,SCORE,800,585.0,239.0,0.5483091787439613,0.6827067669172933,0.6081714668452779,241.48086226781209,28.864734299516908,0.0,0.0,0.0,0.0,0.0,0.0,0.0
notears,SCORE,900,655.0,248.0,0.5615034168564921,0.6461336828309305,0.6008531383302864,239.41598132054014,28.246013667425967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
notears,SCORE,1000,840.0,297.0,0.470648815653965,0.5836526181353767,0.5210946408209806,225.3046987692515,30.587023686920702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
