dataname,baseline,s,shd,espur,precision,recall,F1,time,spuriousness,shd_ci95,espur_ci95,precision_ci95,recall_ci95,F1_ci95,time_ci95,spuriousness_ci95
notears,DAS,600,721.3333333333334,256.6666666666667,0.20693369123781757,0.40056307271926966,0.27284306447143036,6.40265615383784,39.21637936685171,21.599559666293622,12.205273905616014,0.018290311177620075,0.024288199214351,0.021331713928939018,0.02598226782876194,1.218388195553498
notears,DAS,700,960.0,355.3333333333333,0.11835951769867219,0.2765466107682361,0.16572206197670816,6.495762403143776,44.0688874926715,12.33399205448098,8.745886144036204,0.006765297364531156,0.008315756729106347,0.008094947447697978,0.046199712097779504,0.4822191312389015
notears,DAS,800,1353.6666666666667,591.0,0.0339959011621137,0.1131089730916981,0.052272293893922274,7.353899992836847,53.827689113792665,11.391255905786327,7.066880499909419,0.005002329084391075,0.017707697907998823,0.007774722309442246,0.3186144604108826,0.9284212196468882
notears,DAS,900,1491.6666666666667,635.0,0.03841613152481899,0.09632876486809072,0.05492656284927048,7.585882012049358,56.27340920703881,19.08136030557339,16.74624734082236,0.002427043589703091,0.006127565145582182,0.00346691019316619,1.4905742214263513,1.0007212036020456
notears,DAS,1000,1656.6666666666667,689.6666666666666,0.028038866097753773,0.060474818568691795,0.038313612882726306,7.523506122165256,58.5952150156076,5.806953685979491,3.6376060503822925,0.0019625745689518057,0.004101195098797224,0.0026539431698798283,0.32041656757200554,0.25924133779125447
notears,GIES,500,460.0,398.0,0.49435665914221216,0.9733333333333334,0.655688622754491,1.2675655190149944,44.92099322799097,0.0,0.0,0.0,0.0,0.0,0.10204322200867691,0.0
notears,GIES,600,452.0,389.0,0.5479591836734694,0.9835164835164835,0.7038007863695938,0.9616778492927551,39.69387755102041,0.0,0.0,0.0,0.0,0.0,0.019437265792264985,0.0
notears,GIES,700,425.0,371.0,0.6060037523452158,0.9923195084485407,0.7524752475247524,0.8809039553006491,34.80300187617261,0.0,0.0,0.0,0.0,0.0,0.009213909085905726,0.0
notears,GIES,800,641.0,559.0,0.5346239761727476,0.9782016348773842,0.6913818006740492,1.689667718940311,41.62323157110946,0.0,0.0,0.0,0.0,0.0,0.042526525304271076,0.0
notears,GIES,900,427.0,362.0,0.6701444622792937,0.981198589894242,0.7963757749165475,1.260787684387631,29.052969502407706,0.0,0.0,0.0,0.0,0.0,0.09757213792245265,0.0
notears,GIES,1000,469.0,403.0,0.6792727272727271,0.9708939708939709,0.7993153615746683,1.4034341269069248,29.3090909090909,0.0,0.0,0.0,0.0,0.0,0.2340865055652014,0.0
