dataname,folder,num_env,gamma2,TMB,mode,etrue,espur,emiss,efals,shd,tpr,time
erdos_renyi/d20_easy,m5_d1.0_n10,10,0.5,1,aS,28,3,5,2,10,0.8484848484848485,16.068134546279907
erdos_renyi/d20_easy,m5_d1.0_n10,10,0.5,1,aS,33,3,2,0,5,0.9166666666666666,15.882195949554443
erdos_renyi/d20_easy,m5_d1.0_n10,10,0.5,1,aS,30,2,3,2,7,0.8823529411764706,13.954391956329346
erdos_renyi/d20_intermediate,m5_d1.0_n10,10,0.5,1,aS,32,8,6,5,19,0.7111111111111111,15.54304575920105
erdos_renyi/d20_intermediate,m5_d1.0_n10,10,0.5,1,aS,33,5,9,1,15,0.8461538461538461,16.810686588287354
erdos_renyi/d20_intermediate,m5_d1.0_n10,10,0.5,1,aS,35,7,4,4,15,0.7608695652173914,16.692681074142456
erdos_renyi/d20_intermediate,m5_d1.0_n10,10,0.5,1,aS,35,5,3,5,13,0.7777777777777778,16.798643589019775
erdos_renyi/d20_intermediate,m5_d1.0_n10,10,0.5,1,aS,29,7,11,3,21,0.7435897435897436,16.849034070968628
erdos_renyi/d20_intermediate,m5_d1.0_n10,10,0.5,1,aS,38,3,3,2,8,0.8837209302325582,18.046672105789185
erdos_renyi/d20_intermediate,m5_d1.0_n10,10,0.5,1,aS,36,5,3,4,12,0.8,18.233142614364624
erdos_renyi/d20_intermediate,m5_d1.0_n10,10,0.5,1,aS,38,4,3,2,9,0.8636363636363636,19.673343181610107
erdos_renyi/d20_intermediate,m5_d1.0_n10,10,0.5,1,aS,31,7,7,5,19,0.7209302325581395,17.34371256828308
erdos_renyi/d20_intermediate,m5_d1.0_n10,10,0.5,1,aS,33,7,5,5,17,0.7333333333333333,18.291226148605347
erdos_renyi/d20_hard,m5_d1.0_n10,10,0.5,1,aS,39,11,11,7,29,0.6842105263157895,45.149898529052734
erdos_renyi/d20_hard,m5_d1.0_n10,10,0.5,1,aS,39,9,12,6,27,0.7222222222222222,45.092453956604
erdos_renyi/d20_hard,m5_d1.0_n10,10,0.5,1,aS,38,13,13,6,32,0.6666666666666666,43.32638192176819
erdos_renyi/d20_hard,m5_d1.0_n10,10,0.5,1,aS,37,16,12,8,36,0.6065573770491803,41.35250639915466
erdos_renyi/d20_hard,m5_d1.0_n10,10,0.5,1,aS,27,17,18,12,47,0.48214285714285715,43.11483716964722
erdos_renyi/d40_easy,m5_d1.0_n10,10,0.5,1,aS,54,5,22,7,34,0.8181818181818182,36.79027366638184
erdos_renyi/d40_easy,m5_d1.0_n10,10,0.5,1,aS,55,6,19,9,34,0.7857142857142857,37.08309149742127
erdos_renyi/d40_easy,m5_d1.0_n10,10,0.5,1,aS,60,1,17,6,24,0.8955223880597015,35.75952672958374
erdos_renyi/d40_easy,m5_d1.0_n10,10,0.5,1,aS,60,5,15,8,28,0.821917808219178,36.46035528182984
erdos_renyi/d40_easy,m5_d1.0_n10,10,0.5,1,aS,50,7,18,15,40,0.6944444444444444,36.21571207046509
erdos_renyi/d40_intermediate,m5_d1.0_n10,10,0.5,1,aS,59,16,20,11,47,0.686046511627907,43.41711592674256
erdos_renyi/d40_hard,m5_d1.0_n10,10,0.5,1,aS,49,14,50,10,74,0.6712328767123288,207.33444094657895
erdos_renyi/d40_hard,m5_d1.0_n10,10,0.5,1,aS,46,18,52,11,81,0.6133333333333333,193.90224814414975
erdos_renyi/d40_hard,m5_d1.0_n10,10,0.5,1,aS,45,20,52,12,84,0.5844155844155844,170.33798170089722
erdos_renyi/d40_hard,m5_d1.0_n10,10,0.5,1,aS,59,17,41,9,67,0.6941176470588235,169.02158761024475
erdos_renyi/d40_hard,m5_d1.0_n10,10,0.5,1,aS,51,15,47,11,73,0.6623376623376623,166.8618950843811
erdos_renyi/d60_easy,m5_d1.0_n10,10,0.5,1,aS,63,3,33,8,44,0.8513513513513513,44.81701040267944
erdos_renyi/d60_easy,m5_d1.0_n10,10,0.5,1,aS,69,7,24,11,42,0.7931034482758621,44.816569566726685
erdos_renyi/d60_easy,m5_d1.0_n10,10,0.5,1,aS,55,6,34,15,55,0.7236842105263158,45.67470550537109
erdos_renyi/d60_easy,m5_d1.0_n10,10,0.5,1,aS,55,5,35,14,54,0.7432432432432432,43.35222673416138
erdos_renyi/d60_easy,m5_d1.0_n10,10,0.5,1,aS,56,4,35,13,52,0.7671232876712328,44.36997866630554
erdos_renyi/d60_intermediate,m5_d1.0_n10,10,0.5,1,aS,60,8,59,13,80,0.7407407407407407,53.24186372756958
erdos_renyi/d60_intermediate,m5_d1.0_n10,10,0.5,1,aS,80,7,42,10,59,0.8247422680412371,54.5401451587677
erdos_renyi/d60_intermediate,m5_d1.0_n10,10,0.5,1,aS,62,8,58,12,78,0.7560975609756098,56.33330988883972
erdos_renyi/d60_intermediate,m5_d1.0_n10,10,0.5,1,aS,76,5,46,10,61,0.8351648351648352,55.4237003326416
erdos_renyi/d60_intermediate,m5_d1.0_n10,10,0.5,1,aS,64,9,54,14,77,0.735632183908046,54.38873958587647
erdos_renyi/d60_hard,m5_d1.0_n10,10,0.5,1,aS,61,9,81,16,106,0.7093023255813954,80.60755181312561
erdos_renyi/d60_hard,m5_d1.0_n10,10,0.5,1,aS,72,7,69,17,93,0.75,78.98829317092896
erdos_renyi/d60_hard,m5_d1.0_n10,10,0.5,1,aS,47,10,87,24,121,0.5802469135802469,78.86510944366455
erdos_renyi/d60_hard,m5_d1.0_n10,10,0.5,1,aS,78,11,68,12,91,0.7722772277227723,77.2476978302002
erdos_renyi/d60_hard,m5_d1.0_n10,10,0.5,1,aS,64,9,75,19,103,0.6956521739130435,78.11969304084778
erdos_renyi/d80_easy,m5_d1.0_n10,10,0.5,1,aS,85,11,58,19,88,0.7391304347826086,69.67963671684265
erdos_renyi/d80_easy,m5_d1.0_n10,10,0.5,1,aS,68,11,67,27,105,0.6415094339622641,82.4316737651825
erdos_renyi/d80_easy,m5_d1.0_n10,10,0.5,1,aS,74,11,67,21,99,0.6981132075471698,83.08427500724792
erdos_renyi/d80_easy,m5_d1.0_n10,10,0.5,1,aS,62,9,76,24,109,0.6526315789473685,77.55617880821228
erdos_renyi/d80_easy,m5_d1.0_n10,10,0.5,1,aS,58,13,74,30,117,0.5742574257425742,69.60547971725464
erdos_renyi/d80_intermediate,m5_d1.0_n10,10,0.5,1,aS,96,6,69,23,98,0.768,76.45350670814514
erdos_renyi/d80_intermediate,m5_d1.0_n10,10,0.5,1,aS,96,13,74,18,105,0.7559055118110236,75.41607451438904
erdos_renyi/d80_intermediate,m5_d1.0_n10,10,0.5,1,aS,89,15,75,24,114,0.6953125,78.63253808021545
erdos_renyi/d80_intermediate,m5_d1.0_n10,10,0.5,1,aS,84,11,83,21,115,0.7241379310344828,77.32348942756653
erdos_renyi/d80_intermediate,m5_d1.0_n10,10,0.5,1,aS,102,11,69,17,97,0.7846153846153846,78.81706070899963
erdos_renyi/d80_hard,m5_d1.0_n10,10,0.5,1,aS,80,9,107,22,138,0.7207207207207207,186.39444756507876
erdos_renyi/d80_hard,m5_d1.0_n10,10,0.5,1,aS,82,13,101,26,140,0.6776859504132231,185.5271224975586
erdos_renyi/d80_hard,m5_d1.0_n10,10,0.5,1,aS,91,10,97,21,128,0.7459016393442623,186.5134699344635
erdos_renyi/d80_hard,m5_d1.0_n10,10,0.5,1,aS,88,12,100,21,133,0.7272727272727273,183.56470608711243
erdos_renyi/d80_hard,m5_d1.0_n10,10,0.5,1,aS,82,13,105,22,140,0.7008547008547008,187.06502151489255
erdos_renyi/d100_easy,m5_d1.0_n10,10,0.5,1,aS,93,5,75,26,106,0.75,83.5198872089386
erdos_renyi/d100_easy,m5_d1.0_n10,10,0.5,1,aS,101,3,69,24,96,0.7890625,82.21163773536682
erdos_renyi/d100_easy,m5_d1.0_n10,10,0.5,1,aS,86,4,82,26,112,0.7413793103448276,82.77686023712158
erdos_renyi/d100_easy,m5_d1.0_n10,10,0.5,1,aS,88,6,79,27,112,0.7272727272727273,78.77565407752991
erdos_renyi/d100_easy,m5_d1.0_n10,10,0.5,1,aS,107,3,65,22,90,0.8106060606060606,81.18753838539124
erdos_renyi/d100_intermediate,m5_d1.0_n10,10,0.5,1,aS,113,7,86,26,119,0.773972602739726,96.80788779258728
erdos_renyi/d100_intermediate,m5_d1.0_n10,10,0.5,1,aS,98,10,94,33,137,0.6950354609929078,99.66073656082152
erdos_renyi/d100_intermediate,m5_d1.0_n10,10,0.5,1,aS,108,10,86,31,127,0.7248322147651006,98.7827525138855
erdos_renyi/d100_intermediate,m5_d1.0_n10,10,0.5,1,aS,115,9,82,28,119,0.756578947368421,101.5412220954895
erdos_renyi/d100_intermediate,m5_d1.0_n10,10,0.5,1,aS,107,12,86,32,130,0.7086092715231788,99.95868444442748
erdos_renyi/d100_hard,m5_d1.0_n10,10,0.5,1,aS,96,13,146,32,191,0.6808510638297872,236.99976420402527
erdos_renyi/d100_hard,m5_d1.0_n10,10,0.5,1,aS,107,16,134,33,183,0.6858974358974359,243.75806641578677
erdos_renyi/d100_hard,m5_d1.0_n10,10,0.5,1,aS,114,11,136,24,171,0.7651006711409396,237.3648657798767
erdos_renyi/d100_hard,m5_d1.0_n10,10,0.5,1,aS,104,11,140,30,181,0.7172413793103448,253.3872833251953
erdos_renyi/d100_hard,m5_d1.0_n10,10,0.5,1,aS,113,8,128,33,169,0.7337662337662337,237.84469270706177
