dataname,folder,baseline,etrue,espur,emiss,efals,shd,tpr,time
erdos_renyi/d100_hard,m5_d1.0_n10,PC,46,1,219,9,229,0.8214285714285714,3897.889090538025
erdos_renyi/d100_hard,m5_d1.0_n10,PC,46,2,220,8,230,0.8214285714285714,3963.4378747940063
erdos_renyi/d200_easy,m5_d1.0_n10,PC,113,4,213,25,242,0.795774647887324,6510.285336017609
erdos_renyi/d200_easy,m5_d1.0_n10,PC,114,5,210,27,242,0.7808219178082192,6555.761277914047
erdos_renyi/d200_hard,m5_d1.0_n10,PC,68,4,470,20,494,0.7391304347826086,13012.688004732132
erdos_renyi/d200_hard,m5_d1.0_n10,PC,71,4,470,17,491,0.7717391304347826,13031.698049068453
erdos_renyi/d200_intermediate,m5_d1.0_n10,PC,83,2,346,30,378,0.7217391304347827,7788.989591598511
erdos_renyi/d200_intermediate,m5_d1.0_n10,PC,84,2,340,35,377,0.6942148760330579,7822.238089561462
erdos_renyi/d200_hard,m5_d1.0_n10,GIES,286,171,176,96,443,0.5171790235081374,15.72465705871582
erdos_renyi/d300_easy,m5_d1.0_n10,PC,189,3,333,37,,,11935.944633722305
erdos_renyi/d300_easy,m5_d1.0_n10,PC,185,3,333,41,,,12583.528829574585
erdos_renyi/d300_intermediate,m5_d1.0_n10,PC,140,7,544,32,583,0.78,17503.461554288864
erdos_renyi/d300_intermediate,m5_d1.0_n10,PC,134,7,550,32,589,0.77,17027.069462537766
erdos_renyi/d300_hard,m5_d1.0_n10,PC,101,0,696,25,721,0.8,13375.804433822632
erdos_renyi/d400_easy,m5_d1.0_n10,PC,260,3,404,49,456,0.83,11815.072212934494
erdos_renyi/d400_intermediate,m5_d1.0_n10,PC,225,4,588,42,634,0.83,17278.19237422943
erdos_renyi/d400_hard,m5_d1.0_n10,PC,141,5,933,23,961,0.83,23705.011340141296
erdos_renyi/d500_easy,m5_d1.0_n10,PC,371,4,436,53,493,0.87,18832.538441181183
erdos_renyi/d500_intermediate,m5_d1.0_n10,PC,286,4,798,40,842,0.87,30440.14772439003
erdos_renyi/d500_hard,m5_d1.0_n10,PC,187,5,1115,40,1160,0.81,51900.735307216644
